Location,Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
Los Gatos,2,4/1/24 1:36 PM,Small French Press Coffee,N/A Beverages,BEVERAGES,NA Beverage,5.00,1.0,false
Los Gatos,2,4/1/24 1:36 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,4.00,1.0,false
Los Gatos,9,4/1/24 1:36 PM,GLS Borgo Paglianetto Verdicchio,White,BTG WINE,Wine on Premise,14.00,1.0,true
Los Gatos,10,4/1/24 1:37 PM,Mista,INSALATE,FOOD,Food,25.00,1.0,false
Los Gatos,10,4/1/24 1:37 PM,Tonno with Crostini,SFIZI,FOOD,Food,15.00,1.0,false
Los Gatos,10,4/1/24 1:37 PM,Eggplant Parm,ITALIAN AMERICAN,FOOD,Food,27.00,1.0,false
Los Gatos,11,4/1/24 1:38 PM,Caesar,INSALATE,FOOD,Food,0.00,1.0,false
Los Gatos,11,4/1/24 1:38 PM,Lasagna Lorenzo,ITALIAN AMERICAN,FOOD,Food,0.00,1.0,false
Los Gatos,8,4/1/24 1:43 PM,GLS BelleBolle Sparkling Rose,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,2,4/1/24 1:44 PM,Tiramisu,DOLCI,FOOD,Food,140.00,10.0,true
Los Gatos,2,4/1/24 1:46 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,40.00,10.0,false
Los Gatos,12,4/1/24 1:52 PM,Bolzano,CROSTINI,FOOD,Food,12.00,1.0,false
Los Gatos,12,4/1/24 1:53 PM,Caprese Panini,PANINI,FOOD,Food,17.00,1.0,false
Los Gatos,12,4/1/24 1:53 PM,Meatballs,ITALIAN AMERICAN,FOOD,Food,19.00,1.0,false
Los Gatos,12,4/1/24 1:58 PM,BTL Casale Marchese Quatro,White,BTG WINE,Wine on Premise,64.00,1.0,false
Los Gatos,2,4/1/24 2:05 PM,Small French Press Coffee,N/A Beverages,BEVERAGES,NA Beverage,5.00,1.0,false
Los Gatos,13,4/1/24 2:11 PM,3 Olive Sampler,SFIZI,FOOD,Food,11.00,1.0,false
Los Gatos,13,4/1/24 2:15 PM,Tonno with Crostini,SFIZI,FOOD,Food,15.00,1.0,false
Los Gatos,13,4/1/24 2:15 PM,GLS Monticello Chardonnay,White,BTG WINE,Wine on Premise,32.00,2.0,false
Los Gatos,10,4/1/24 2:32 PM,GLS Borgo Paglianetto Verdicchio,White,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,12,4/1/24 2:35 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,8.00,2.0,false
Los Gatos,7,4/1/24 2:36 PM,Large French Press Coffee,N/A Beverages,BEVERAGES,NA Beverage,10.00,1.0,false
Los Gatos,11,4/1/24 2:54 PM,Sparkling Water,N/A Beverages,BEVERAGES,NA Beverage,0.00,1.0,false
Los Gatos,14,4/1/24 3:26 PM,Crostini Sampler,CROSTINI,FOOD,Food,16.00,1.0,false
Los Gatos,15,4/1/24 3:27 PM,GLS Due Terre grillo,White,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,16,4/1/24 3:34 PM,DiStefano Burrata,SFIZI,FOOD,Food,23.00,1.0,false
Los Gatos,16,4/1/24 3:34 PM,GLS Montpelier Syrah 19,Red,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,16,4/1/24 3:34 PM,GLS Il Colle Orange Prosecco Extra Dry,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,16,4/1/24 3:34 PM,Caprese Panini,PANINI,FOOD,Food,17.00,1.0,false
Los Gatos,16,4/1/24 3:38 PM,GLS Montpelier Syrah 19,Red,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,15,4/1/24 3:48 PM,Cacio di Bosco al Tartfuo,FORMAGGI,FOOD,Food,6.00,1.0,false
Los Gatos,15,4/1/24 3:48 PM,DiStefano Burrata,SFIZI,FOOD,Food,23.00,1.0,false
Los Gatos,16,4/1/24 4:07 PM,GLS Il Colle Orange Prosecco Extra Dry,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,15,4/1/24 4:07 PM,GLS Montpelier Syrah 19,Red,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,17,4/1/24 4:10 PM,RET Lini Lambrusco,Sparkling,BTG WINE,Wine on Premise,18.00,1.0,false
Los Gatos,18,4/1/24 4:11 PM,Lasagna Lorenzo,ITALIAN AMERICAN,FOOD,Food,21.00,1.0,false
Los Gatos,16,4/1/24 4:15 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,4.00,1.0,false
Los Gatos,19,4/1/24 4:15 PM,Prosciutto Bruschetta,SFIZI,FOOD,Food,0.00,1.0,false
Los Gatos,16,4/1/24 4:26 PM,HLF Il Colle Orange Prosecco Extra Dry,Sparkling,BTG WINE,Wine on Premise,6.50,1.0,false
Los Gatos,20,4/1/24 5:03 PM,Mista,INSALATE,FOOD,Food,27.00,1.0,false
Los Gatos,20,4/1/24 5:03 PM,Mista,INSALATE,FOOD,Food,13.00,1.0,false
Los Gatos,20,4/1/24 5:04 PM,Spaghetti Marinara,PASTA/ENTREES,FOOD,Food,16.00,1.0,false
Los Gatos,20,4/1/24 5:04 PM,Eggplant Parm,ITALIAN AMERICAN,FOOD,Food,27.00,1.0,false
Los Gatos,31,4/1/24 5:15 PM,Mushroom Ravioli,PASTA/ENTREES,FOOD,Food,24.00,1.0,false
Los Gatos,31,4/1/24 5:15 PM,Caprese Panini,PANINI,FOOD,Food,17.00,1.0,false
Los Gatos,31,4/1/24 5:16 PM,Sausage & Peppers,ITALIAN AMERICAN,FOOD,Food,16.00,1.0,false
Los Gatos,31,4/1/24 5:16 PM,BTL Montpelier Syrah 19,Red,BTG WINE,Wine on Premise,48.00,1.0,false
Los Gatos,31,4/1/24 5:17 PM,Diet Coke,N/A Beverages,BEVERAGES,NA Beverage,4.00,1.0,false
Los Gatos,22,4/1/24 5:18 PM,GLS Laird Jillian's Blend 17,Red,BTG WINE,Wine on Premise,25.00,1.0,false
Los Gatos,22,4/1/24 5:18 PM,GLS Monteci Bardolino Rose 21,Rose,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,23,4/1/24 5:19 PM,Calabrese Shrimp,SFIZI,FOOD,Food,18.00,1.0,false
Los Gatos,23,4/1/24 5:19 PM,DiStefano Burrata,SFIZI,FOOD,Food,23.00,1.0,false
Los Gatos,20,4/1/24 5:26 PM,GLS Small Lot Cab,Red,BTG WINE,Wine on Premise,25.00,1.0,false
Los Gatos,22,4/1/24 5:30 PM,Classic Bruschetta,SFIZI,FOOD,Food,18.00,1.0,false
Los Gatos,22,4/1/24 5:30 PM,Crostini Sampler,CROSTINI,FOOD,Food,16.00,1.0,false
Los Gatos,23,4/1/24 5:33 PM,BTL Brady Cab,Red,BTG WINE,Wine on Premise,64.00,1.0,false
Los Gatos,23,4/1/24 5:33 PM,Mista,INSALATE,FOOD,Food,13.00,1.0,false
Los Gatos,23,4/1/24 5:33 PM,Mista,INSALATE,FOOD,Food,13.00,1.0,false
Los Gatos,23,4/1/24 5:33 PM,Ricchezza (Picollo),PROPOSTA DELLA CASA,FOOD,Food,35.00,1.0,false
Los Gatos,23,4/1/24 5:34 PM,Meatballs,ITALIAN AMERICAN,FOOD,Food,38.00,2.0,false
Los Gatos,23,4/1/24 5:55 PM,Blood Orange,N/A Beverages,BEVERAGES,NA Beverage,6.00,1.0,false
Los Gatos,24,4/1/24 5:55 PM,Blood Orange,N/A Beverages,BEVERAGES,NA Beverage,6.00,1.0,false
Los Gatos,22,4/1/24 5:57 PM,GLS Laird Jillian's Blend 17,Red,BTG WINE,Wine on Premise,25.00,1.0,false
Los Gatos,22,4/1/24 5:57 PM,GLS Monteci Bardolino Rose 21,Rose,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,25,4/1/24 6:08 PM,DD MISTA,DOORDASH,FOOD,Food,15.00,1.0,false
Los Gatos,25,4/1/24 6:08 PM,DD Tonno Panini,DOORDASH,FOOD,Food,18.00,1.0,false
Los Gatos,25,4/1/24 6:08 PM,DD GORGONZOLA,DOORDASH,FOOD,Food,19.00,1.0,false
Los Gatos,25,4/1/24 6:08 PM,DD Cannoli,DOORDASH,FOOD,Food,13.00,1.0,false
Los Gatos,31,4/1/24 6:21 PM,Sfogliatelle,DOLCI,FOOD,Food,10.00,1.0,false
Los Gatos,31,4/1/24 6:21 PM,Small French Press Coffee,N/A Beverages,BEVERAGES,NA Beverage,5.00,1.0,false
Los Gatos,26,4/1/24 6:21 PM,BTL Riva Leone Barbera,Red,BTG WINE,Wine on Premise,26.00,1.0,false
Los Gatos,24,4/1/24 6:21 PM,BTL Fornaci Gavi,White,BTG WINE,Wine on Premise,56.00,1.0,false
Los Gatos,26,4/1/24 6:22 PM,Caprese Insalate,INSALATE,FOOD,Food,21.00,1.0,false
Los Gatos,26,4/1/24 6:22 PM,Sausage & Peppers,ITALIAN AMERICAN,FOOD,Food,16.00,1.0,false
Los Gatos,27,4/1/24 6:23 PM,BTL Cuatro Rayas Tempranillo,Red,BTG WINE,Wine on Premise,26.00,1.0,false
Los Gatos,24,4/1/24 6:27 PM,Caesar,INSALATE,FOOD,Food,18.00,1.0,false
Los Gatos,24,4/1/24 6:27 PM,Mista,INSALATE,FOOD,Food,26.00,2.0,false
Los Gatos,24,4/1/24 6:28 PM,Lasagna Lorenzo,ITALIAN AMERICAN,FOOD,Food,42.00,2.0,false
Los Gatos,24,4/1/24 6:28 PM,Gorgonzola Salad,INSALATE,FOOD,Food,17.00,1.0,false
Los Gatos,24,4/1/24 6:28 PM,Meatballs,ITALIAN AMERICAN,FOOD,Food,26.00,1.0,false
Los Gatos,24,4/1/24 6:28 PM,Mushroom Ravioli,PASTA/ENTREES,FOOD,Food,24.00,1.0,false
Los Gatos,27,4/1/24 6:31 PM,Gorgonzola Salad,INSALATE,FOOD,Food,17.00,1.0,false
Los Gatos,27,4/1/24 6:32 PM,Meatballs,ITALIAN AMERICAN,FOOD,Food,19.00,1.0,false
Los Gatos,28,4/1/24 6:33 PM,GLS Barnier Rose Champagne,Sparkling,BTG WINE,Wine on Premise,24.00,1.0,false
Los Gatos,28,4/1/24 6:33 PM,GLS Abbazia di Novacella Pinot Grigio,White,BTG WINE,Wine on Premise,16.00,1.0,false
Los Gatos,29,4/1/24 6:39 PM,GLS Il Colle Orange Prosecco Extra Dry,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,29,4/1/24 6:39 PM,GLS Cuatro Rayas Tempranillo,Red,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,29,4/1/24 6:39 PM,Iced Tea,N/A Beverages,BEVERAGES,NA Beverage,4.00,1.0,false
Los Gatos,29,4/1/24 6:39 PM,Caesar,INSALATE,FOOD,Food,18.00,1.0,false
Los Gatos,29,4/1/24 6:40 PM,Aglio e Olio,PASTA/ENTREES,FOOD,Food,30.00,1.0,false
Los Gatos,29,4/1/24 6:40 PM,Spaghetti Marinara,PASTA/ENTREES,FOOD,Food,28.00,1.0,false
Los Gatos,28,4/1/24 6:42 PM,Classic Bruschetta,SFIZI,FOOD,Food,18.00,1.0,false
Los Gatos,28,4/1/24 6:43 PM,Meatballs,ITALIAN AMERICAN,FOOD,Food,19.00,1.0,false
Los Gatos,28,4/1/24 6:43 PM,Aglio e Olio,PASTA/ENTREES,FOOD,Food,18.00,1.0,false
Los Gatos,32,4/1/24 6:43 PM,BTL Lini Lambrusco,Sparkling,BTG WINE,Wine on Premise,18.00,1.0,false
Los Gatos,32,4/1/24 6:45 PM,Tonno Insalate,INSALATE,FOOD,Food,36.00,2.0,false
Los Gatos,28,4/1/24 6:56 PM,GLS Abbazia di Novacella Pinot Grigio,White,BTG WINE,Wine on Premise,16.00,1.0,false
Los Gatos,29,4/1/24 7:12 PM,GLS BelleBolle Sparkling Rose,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,28,4/1/24 7:13 PM,Sparkling Water,N/A Beverages,BEVERAGES,NA Beverage,7.50,1.0,false
Los Gatos,29,4/1/24 7:16 PM,GLS Cuatro Rayas Tempranillo,Red,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,24,4/1/24 7:21 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,20.00,5.0,false
Los Gatos,34,4/1/24 7:22 PM,Caesar,INSALATE,FOOD,Food,0.00,1.0,false
Los Gatos,34,4/1/24 7:22 PM,Sonny's Sandwich,ITALIAN AMERICAN,FOOD,Food,0.00,1.0,false
Los Gatos,35,4/1/24 7:47 PM,Aglio e Olio,PASTA/ENTREES,FOOD,Food,18.00,1.0,false
Los Gatos,35,4/1/24 7:57 PM,BTL R8 Chardonnay,White,WINE,Retail Wine,16.00,1.0,false
Los Gatos,36,4/1/24 7:58 PM,GLS Lini Lambrusco,Sparkling,BTG WINE,Wine on Premise,24.00,2.0,false
Los Gatos,1,4/2/24 12:14 PM,Open Retail Wine,MISC,WINE,Retail Wine,80.00,2.0,false
Los Gatos,2,4/2/24 12:37 PM,Crostini Sampler,CROSTINI,FOOD,Food,16.00,1.0,false
Los Gatos,2,4/2/24 12:37 PM,BTL Fornaci Gavi,White,BTG WINE,Wine on Premise,56.00,1.0,false
Los Gatos,2,4/2/24 12:56 PM,Cacio e Pepe,PASTA/ENTREES,FOOD,Food,19.00,1.0,false
Los Gatos,2,4/2/24 12:56 PM,Sausage & Peppers,ITALIAN AMERICAN,FOOD,Food,16.00,1.0,false
Los Gatos,3,4/2/24 1:13 PM,Carbonara,PASTA/ENTREES,FOOD,Food,22.00,1.0,false
Los Gatos,3,4/2/24 1:16 PM,GLS Borgo Paglianetto Verdicchio,White,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,2,4/2/24 1:29 PM,BTL Fornaci Gavi,White,BTG WINE,Wine on Premise,56.00,1.0,false
Los Gatos,4,4/2/24 1:35 PM,Sausage & Peppers,ITALIAN AMERICAN,FOOD,Food,0.00,1.0,false
Los Gatos,4,4/2/24 1:35 PM,Pane Bianco,SFIZI,FOOD,Food,0.00,1.0,false
Los Gatos,3,4/2/24 2:12 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,4.00,1.0,false
Los Gatos,3,4/2/24 2:12 PM,Small French Press Coffee,N/A Beverages,BEVERAGES,NA Beverage,5.00,1.0,false
Los Gatos,5,4/2/24 2:20 PM,Pecorino Oro Antico Riserva,FORMAGGI,FOOD,Food,3.60,1.0,false
Los Gatos,5,4/2/24 2:20 PM,Nostrano,SALUMI,FOOD,Food,3.92,1.0,false
Los Gatos,5,4/2/24 2:20 PM,Duck Salami,SALUMI,FOOD,Food,5.23,1.0,false
Los Gatos,5,4/2/24 2:20 PM,Marzano Barolo,HEIRLOOM MENU,FOOD,Food,11.77,1.0,false
Los Gatos,5,4/2/24 2:20 PM,The Alba,PANINI,FOOD,Food,11.77,1.0,false
Los Gatos,5,4/2/24 2:22 PM,GLS Fornaci Gavi,White,BTG WINE,Wine on Premise,9.16,1.0,false
Los Gatos,5,4/2/24 2:22 PM,GLS Barnier Rose Champagne,Sparkling,BTG WINE,Wine on Premise,15.70,1.0,false
Los Gatos,5,4/2/24 2:22 PM,GLS Collematoni Brunello 18,Red,BTG WINE,Wine on Premise,22.90,1.0,false
Los Gatos,3,4/2/24 2:30 PM,RET Borgo Paglianetto Verdicchio,White,BTG WINE,Wine on Premise,21.60,1.0,false
Los Gatos,3,4/2/24 2:30 PM,RET Kurt Angerer Gruner,White,BTG WINE,Wine on Premise,23.40,1.0,false
Los Gatos,5,4/2/24 2:57 PM,GLS Fornaci Gavi,White,BTG WINE,Wine on Premise,9.16,1.0,false
Los Gatos,5,4/2/24 2:57 PM,GLS Barnier Rose Champagne,Sparkling,BTG WINE,Wine on Premise,15.70,1.0,false
Los Gatos,5,4/2/24 2:57 PM,GLS Collematoni Brunello 18,Red,BTG WINE,Wine on Premise,22.89,1.0,false
Los Gatos,6,4/2/24 2:57 PM,Caprese Panini,PANINI,FOOD,Food,17.00,1.0,false
Los Gatos,6,4/2/24 2:57 PM,GLS Montpelier Viognier 21,White,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,2,4/2/24 2:57 PM,BTL Fornaci Gavi,White,BTG WINE,Wine on Premise,56.00,1.0,false
Los Gatos,5,4/2/24 3:14 PM,Half Barnier Rose Champagne,Sparkling,BTG WINE,Wine on Premise,7.85,1.0,false
Los Gatos,5,4/2/24 3:14 PM,HLF Collematoni Brunello 18,Red,BTG WINE,Wine on Premise,11.45,1.0,false
Los Gatos,7,4/2/24 3:23 PM,Bolzano,CROSTINI,FOOD,Food,12.00,1.0,false
Los Gatos,7,4/2/24 3:23 PM,BTL BelleBolle Sparkling Rose,Sparkling,BTG WINE,Wine on Premise,48.00,1.0,false
Los Gatos,6,4/2/24 3:29 PM,GLS Montpelier Viognier 21,White,BTG WINE,Wine on Premise,12.00,1.0,false
Los Gatos,6,4/2/24 3:29 PM,RET Lloyd Chardonnay,White,BTG WINE,Wine on Premise,58.00,1.0,false
Los Gatos,8,4/2/24 4:06 PM,GLS Cotiere Pinot Noir,Red,BTG WINE,Wine on Premise,17.00,1.0,false
Los Gatos,9,4/2/24 4:13 PM,Coke,N/A Beverages,BEVERAGES,NA Beverage,4.00,1.0,false
Los Gatos,9,4/2/24 4:13 PM,The Alba,PANINI,FOOD,Food,18.00,1.0,false
Los Gatos,9,4/2/24 4:13 PM,Mushroom Ravioli,PASTA/ENTREES,FOOD,Food,24.00,1.0,false
Los Gatos,9,4/2/24 4:13 PM,Eggplant Parm,ITALIAN AMERICAN,FOOD,Food,27.00,1.0,false
Los Gatos,8,4/2/24 4:39 PM,GLS Cotiere Pinot Noir,Red,BTG WINE,Wine on Premise,17.00,1.0,false
Los Gatos,8,4/2/24 4:41 PM,Truffolina,FORMAGGI,FOOD,Food,6.00,1.0,false
Los Gatos,8,4/2/24 4:41 PM,Pecorino Sole di Sicilia con zafferano,FORMAGGI,FOOD,Food,5.00,1.0,false
Los Gatos,8,4/2/24 4:41 PM,Fontina Aosta,FORMAGGI,FOOD,Food,5.00,1.0,false
Los Gatos,2,4/2/24 4:41 PM,BTL Fornaci Gavi,White,BTG WINE,Wine on Premise,56.00,1.0,false
Los Gatos,10,4/2/24 5:06 PM,Classic Bruschetta,SFIZI,FOOD,Food,18.00,1.0,false
Los Gatos,10,4/2/24 5:09 PM,Colossal California,Flights,BTG WINE,Wine on Premise,60.00,2.0,false
Los Gatos,2,4/2/24 5:10 PM,Piccante,CROSTINI,FOOD,Food,12.00,1.0,false
Los Gatos,2,4/2/24 5:10 PM,Renata,CROSTINI,FOOD,Food,12.00,1.0,false
Los Gatos,11,4/2/24 5:25 PM,BTL Riva Leone Barbera,Red,BTG WINE,Wine on Premise,56.00,1.0,false
Los Gatos,11,4/2/24 5:25 PM,Prosciutto Bruschetta,SFIZI,FOOD,Food,20.00,1.0,false
Los Gatos,11,4/2/24 5:25 PM,Caprese Insalate,INSALATE,FOOD,Food,18.00,1.0,false
Los Gatos,12,4/2/24 5:38 PM,Gorgonzola Salad,INSALATE,FOOD,Food,17.00,1.0,false
Los Gatos,12,4/2/24 5:41 PM,BTL LCN Nebbiolo,Red,BTG WINE,Wine on Premise,25.00,1.0,false
Los Gatos,12,4/2/24 5:42 PM,Carbonara,PASTA/ENTREES,FOOD,Food,22.00,1.0,false
Los Gatos,12,4/2/24 5:42 PM,Spring Ravioli,PASTA/ENTREES,FOOD,Food,16.00,1.0,false
Los Gatos,12,4/2/24 5:42 PM,Tonno with Crostini,SFIZI,FOOD,Food,15.00,1.0,false
Los Gatos,14,4/2/24 5:50 PM,GLS LCN Nebbiolo,Red,BTG WINE,Wine on Premise,16.00,1.0,false
Los Gatos,15,4/2/24 5:55 PM,Arthur Ave,PANINI,FOOD,Food,18.00,1.0,false
Los Gatos,15,4/2/24 5:55 PM,Tonno Panini,PANINI,FOOD,Food,18.00,1.0,false
Los Gatos,10,4/2/24 5:55 PM,Caesar,INSALATE,FOOD,Food,18.00,1.0,false
Los Gatos,10,4/2/24 5:56 PM,Pecorino Oro Antico Riserva,FORMAGGI,FOOD,Food,5.50,1.0,false
Los Gatos,10,4/2/24 5:56 PM,Quadratto Perfetto,FORMAGGI,FOOD,Food,5.00,1.0,false
Los Gatos,10,4/2/24 5:56 PM,Pio,SALUMI,FOOD,Food,6.00,1.0,false
Los Gatos,10,4/2/24 5:56 PM,Sopressa Salami,SALUMI,FOOD,Food,5.50,1.0,false
Los Gatos,11,4/2/24 5:56 PM,Carbonara,PASTA/ENTREES,FOOD,Food,44.00,2.0,false
Los Gatos,16,4/2/24 5:58 PM,Tonno Panini,PANINI,FOOD,Food,36.00,2.0,false
Los Gatos,16,4/2/24 5:58 PM,Classic Bruschetta,SFIZI,FOOD,Food,18.00,1.0,false
Los Gatos,16,4/2/24 5:58 PM,Lasagna Lorenzo,ITALIAN AMERICAN,FOOD,Food,21.00,1.0,false
Los Gatos,16,4/2/24 5:58 PM,Spaghetti Marinara,PASTA/ENTREES,FOOD,Food,28.00,1.0,false
Los Gatos,8,4/2/24 6:00 PM,Aglio e Olio,PASTA/ENTREES,FOOD,Food,18.00,1.0,false
Los Gatos,17,4/2/24 6:00 PM,Crostini Sampler,CROSTINI,FOOD,Food,16.00,1.0,false
Los Gatos,18,4/2/24 6:04 PM,BTL Kermit Lynch Côtes-du-Rhône 21,Red,BTG WINE,Wine on Premise,26.00,1.0,false
Los Gatos,18,4/2/24 6:07 PM,Gorgonzola Salad,INSALATE,FOOD,Food,17.00,1.0,false
Los Gatos,18,4/2/24 6:07 PM,Cacio e Pepe,PASTA/ENTREES,FOOD,Food,19.00,1.0,false
Los Gatos,18,4/2/24 6:07 PM,Carbonara,PASTA/ENTREES,FOOD,Food,22.00,1.0,false
Los Gatos,8,4/2/24 6:09 PM,GLS Cotiere Pinot Noir,Red,BTG WINE,Wine on Premise,17.00,1.0,false
Los Gatos,19,4/2/24 6:15 PM,Tonno Insalate,INSALATE,FOOD,Food,18.00,1.0,false
Los Gatos,19,4/2/24 6:15 PM,GLS Zorzettig Ribolla Gialla,White,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,19,4/2/24 6:15 PM,Sparkling Water,N/A Beverages,BEVERAGES,NA Beverage,7.50,1.0,false
Los Gatos,17,4/2/24 6:19 PM,Gorgonzola Salad,INSALATE,FOOD,Food,26.00,1.0,false
Los Gatos,17,4/2/24 6:19 PM,Caesar,INSALATE,FOOD,Food,27.00,1.0,false
Los Gatos,17,4/2/24 6:19 PM,Caprese Insalate,INSALATE,FOOD,Food,27.00,1.0,false
Los Gatos,17,4/2/24 6:19 PM,GLS Corvezzo Prosecco,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,true
Los Gatos,20,4/2/24 6:20 PM,GLS BelleBolle Sparkling Rose,Sparkling,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,20,4/2/24 6:20 PM,HLF Il Colle Orange Prosecco Extra Dry,Sparkling,BTG WINE,Wine on Premise,13.00,2.0,true
Los Gatos,20,4/2/24 6:20 PM,GLS Borgo Paglianetto Verdicchio,White,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,21,4/2/24 6:26 PM,BTL Montmiral Gigondas,Red A-K,WINE,Retail Wine,34.00,1.0,false
Los Gatos,22,4/2/24 6:29 PM,Tonno with Crostini,SFIZI,FOOD,Food,15.00,1.0,false
Los Gatos,22,4/2/24 6:29 PM,Aglio e Olio,PASTA/ENTREES,FOOD,Food,18.00,1.0,false
Los Gatos,22,4/2/24 6:29 PM,BTL Assiduous Pinot Noir,Red A-K,WINE,Retail Wine,35.00,1.0,false
Los Gatos,11,4/2/24 6:30 PM,Ginger's Carrot Cake Bite,DOLCI,FOOD,Food,4.00,1.0,false
